,LBR_PLATE1_R1,LBR_PLATE2_R1,LBR_PLATE3_R1,LBR_PLATE4_R1,LBR_PLATE5_R1,LBR_PLATE6_R1,LBR_PLATE1_R2,LBR_PLATE2_R2,LBR_PLATE3_R2,LBR_PLATE4_R2,LBR_PLATE5_R2,LBR_PLATE6_R2,LBR_PLATE1_R3,LBR_PLATE2_R3,LBR_PLATE3_R3,LBR_PLATE4_R3,LBR_PLATE5_R3,LBR_PLATE6_R3
-10,0.5,0,0.3,0,0.4,0.8,0.7,0.4,0,0.6,0.2,0.3,0.5,0.6,0.5,0.1,0.7,0.5
-9,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,12.3,8.4,15.8,14.5,15.7,0,5.3,7,13.2,17.9,15.9,15.7,5.2,9.9,16.4,13.7,18.3,15
-6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
-5,0.4,2.2,0.9,0.1,0.7,0,0.5,0.6,0.3,0.7,0.6,0.7,0.5,0.3,0.7,0.2,0.9,0.3
-4,0.1,0.6,0.7,0,0.2,0,0.3,0.5,0,0.8,0,0,0.3,0.4,0.3,0,0.7,0
-3,0.6,0,0.4,0,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0.5,0
-2,0.3,0,1,0,1.1,0,0,0,0,0.9,0,0,0,0,0.8,0.2,0.9,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0,45.1,17.6,34.7,25.6,35.4,89,56.5,47.1,29.4,29,23.5,22.8,56,40.1,29.9,30.6,25.5,25.2
1,30.1,20.4,36.3,41.7,36.5,1.1,24.9,29.9,39.8,40.1,43.1,44.1,25,31.9,36.6,38.3,42.7,42.2
2,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,9.4,0.7,0.7,0.8,0,0,0,0.6,0.9,0.2,0,0,0.6,1.6,0.3,1.1,0.4
4,0,4.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
5,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0.6,0.5,0,0.1,0,0,0,0.3,0,0,0.2,0,0.2
7,0.5,0,0.2,0,0.3,0.4,0,0.4,0,0.1,0,0,0.3,0,0.1,0,0.3,0
8,0.2,0,0.3,0.5,0.3,0,0.2,0.1,0.8,0.5,0.7,0.5,0.2,0.4,0.4,0.3,0.5,0.4
9,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CUTTING EFF,54.9,82.4,65.3,74.4,64.6,11,43.5,52.9,70.6,71,76.5,77.2,44,59.9,70.1,69.4,74.5,74.8
MMEJ RATIO,2.447154472,2.428571429,2.297468354,2.875862069,2.324840764,#DIV/0!,4.698113208,4.271428571,3.015151515,2.240223464,2.710691824,2.808917197,4.807692308,3.222222222,2.231707317,2.795620438,2.333333333,2.813333333