,LBR_PLATE2_R1,LBR_PLATE3_R1,LBR_PLATE4_R1,LBR_PLATE5_R1,LBR_PLATE6_R1,LBR_PLATE1_R2,LBR_PLATE2_R2,LBR_PLATE3_R2,LBR_PLATE4_R2,LBR_PLATE5_R2,LBR_PLATE6_R2,LBR_PLATE1_R3,LBR_PLATE2_R3,LBR_PLATE4_R3,LBR_PLATE5_R3,LBR_PLATE6_R3
-10,0.7,0,0.3,1.9,0.2,0.3,0.1,1,0.2,0,0.4,0.9,1.3,0.6,0.8,0
-9,0.3,0,1.2,0,0.6,0.5,1.2,0.3,0.8,0.6,0.8,0,0.7,0.6,0,0.2
-8,0,7.7,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1
-7,2.9,0.5,0,4.5,0,0,0,1.3,0,0,0,0,2.9,0,9.4,0
-6,0,0.8,7.9,0.5,8.1,9.2,6.5,0,9.8,5.7,7.4,0.2,0,9.8,0,0
-5,0.9,0,0.7,0.7,0.3,0,0.4,0,0.2,0,0,0,1,0.5,1,6.9
-4,0,0,1,0,0.7,1,0.4,0,1,0.2,0.4,0,0,0.9,0,1.1
-3,0,0,0,0.7,0,0.1,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,1.1,0
-1,0,53.9,0.1,1.1,0,1.2,0,0,1.3,3.5,0.6,0,0,0.4,0,1.7
0,50.1,27.7,0,48.3,0,0,0,80.4,0,4.4,0,84.9,52,0,39.8,2.2
1,32.2,0,44.6,22.3,50.4,42.8,55.1,7,41.7,29,49.2,6.6,31.2,40.1,34,3.3
2,0,0.9,31.9,6.7,28,35.9,26.2,0,35.1,23.9,34.8,0,0,34.9,0,32.8
3,0.1,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0.5,20.6
4,0,0,0.6,0.8,0.6,0,0.4,0,0,1.4,0,0,0,0.4,0.1,0
5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.2
6,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
7,0.2,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0,1,0
8,0,0,0.4,0.4,0.7,0.3,0.7,0.7,0.3,0.3,0.8,0,0,0.8,0.2,0
9,0,0,0.9,0,0.8,0,0.7,0.2,0,0.4,0,0.3,0,0.9,0,1.3
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Macrogen,,,,,,,,,,,,,,,,
Cutting eff,49.9,46.1,55.4,51.7,49.6,57.2,44.9,19.6,58.3,71,50.8,15.1,48,59.9,60.2,67.2
MMEJ ratio,11.10344828,3.597402597,4.037974684,4.955555556,3.456790123,3.902173913,4.030769231,5.384615385,3.581632653,4.192982456,4.702702703,#DIV/0!,10.75862069,3.56122449,3.617021277,2.985507246